Operon,Length (nt),ID,Elongation Rate (nt/s),Elongation Rate err,Chisq
prfC,1590,2035,31.7257,0.833546,447.024
rfaE,1434,1466,32.6042,1.02473,293.214
lysU,1518,1918,32.6573,0.861216,433.586
ilvC,1476,1749,32.6898,0.902446,385.911
polB,2352,22,32.8534,24.2245,5.64585
dacB,1434,1527,32.8998,0.988537,320.085
ubiD,1494,1781,32.9222,0.904389,394.361
gpp,1485,1753,33.2837,0.937144,376.613
gdhA,1344,864,33.4196,1.35939,157.922
proP,1503,1908,33.981,0.901346,427.748
holD-rimI-yjjG,1521,2034,34.4082,0.886189,487.278
dgt,1518,64,34.9041,24.2235,26.3859
pepA,1512,1983,34.9167,0.920432,525.733
yegD,1353,1019,34.9628,1.29711,196.093
yegQ,1362,1026,35.0192,1.38581,182.643
exuT,1419,1492,35.077,1.05399,341.742
rhoL-rho,1446,1756,35.1457,0.970094,399.581
plaP,1359,1005,35.208,1.44849,166.271
rne,3186,511,35.2315,4.15629,419.151
ybdR,1239,293,35.2915,2.62728,27.9736
yjgR,1503,1985,35.3996,0.928223,473.251
ftsP,1413,1444,35.5769,1.09624,327.879
yphG,3282,1226,35.8807,4.18693,3299.55
mdlAB,3547,208,36.1374,15.6433,164.804
galP,1395,1409,36.9041,1.13939,303.542
yqjCDEK,1408,1495,36.9792,1.09674,333.518
ddpXABCDF,5965,720,38.0422,5.5618,1552
fecIR,1472,1999,38.539,1.01276,437.418
ykgEFG,2846,141,38.7719,30.6309,85.0835
rmuC,1428,1779,39.1743,1.0786,390.938
ffh,1362,1252,39.4398,1.303,258.633
agp,1242,476,39.8821,1.81465,116.766
ygdH,1365,1331,39.9359,1.26301,327.394
yebA,1323,925,40.1798,1.57542,192.107
ynjE,1308,862,40.2103,1.6336,250.383
rpsF-priB-rpsR-rplI,1440,1947,40.265,1.06561,702.463
aspA,1437,1923,40.3524,1.0597,424.508
ygjG,1380,1477,41.0352,1.22506,321.942
pssA,1356,1245,41.7745,1.40539,297.185
icd,1251,530,42.2183,2.02161,143.255
hemL,1281,61,42.4637,17.5378,3.27002
tolC-ygiABC,3467,1455,42.933,2.9184,1855
trkA,1377,1565,45.5193,1.37091,341.64
shiA,1317,982,45.5531,1.79323,180.286
dnaB,1416,1885,45.6042,1.23433,412.643
fadL,1347,1139,47.1651,1.92991,175.251
ychO,1254,581,48.4914,2.47023,89.6037
yeeED,1300,1004,48.627,1.75655,248.465
sbmA-yaiW,2328,170,48.9749,40.0603,137.288
kch,1254,596,48.9825,2.48234,90.5701
srmB,1335,1237,49.5494,1.66697,246.938
yifK,1386,1758,49.7325,1.46358,352.383
cycA,1413,1950,50.7237,1.43123,377.893
ubiCA,1383,1875,52.151,1.40571,412.14
mnmE,1365,1732,52.3686,1.48019,368.672
hemN,1374,1794,53.2568,1.48949,380.22
cmr,1233,399,53.7138,3.48201,47.7156
argA,1332,1343,54.4255,1.75878,271.505
gor,1353,1635,55.0562,1.59238,359.308
mpl,1374,1966,56.9481,1.49743,433.785
argG,1344,1522,57.3871,1.73391,316.104
ydhQ,1257,819,58.3734,2.42519,167.629
mlaFEDCB,3103,1533,58.4531,6.67347,2459.99
uvrB,2022,365,59.3824,22.5795,322.757
pheLA,1307,1249,59.6278,2.01442,249.355
yieEF,1350,1734,59.9412,1.66027,390.179
ynfM,1254,781,61.994,2.7143,137.229
fsr,1221,228,63.3759,6.63937,57.9613
ppiB-lpxH,1220,246,63.4795,5.51405,204.611
lysC,1350,1868,64.9997,1.76621,403.55
pmbA,1353,1968,65.4114,1.717,438.504
rlmD,1302,1326,65.5437,2.13388,274.083
nagC,1221,320,67.3722,4.72382,46.3851
pepB,1284,1218,67.6932,2.24575,334.007
folX-yfcH,1277,1128,68.2272,2.38836,234.406
